-8.513, -8.422, -8.707, -8.920, -8.134, -25.445
-5.749, -5.870, -5.380, -5.564, -5.046, -14.480
-1.264, -1.464, -1.282, -1.087, -1.762, -1.097
 1.960,  1.779,  1.712,  1.799,  1.534,  9.046
 4.073,  4.436,  4.422,  4.302,  4.970, 17.126
 7.733,  7.512,  7.827,  7.042,  7.294, 29.420
-8.552, -8.352, -8.685, -8.481, -8.117, -25.809
-5.318, -5.460, -5.286, -5.361, -5.098, -14.130
-1.598, -1.251, -1.536, -1.098, -1.757, -2.879
 2.316,  1.956,  1.643,  1.566,  1.679,  9.439
 4.674,  4.254,  4.288,  4.992,  4.753, 17.812
 7.038,  7.164,  7.315,  7.293,  7.984, 27.094
-8.443, -8.470, -8.725, -8.593, -8.468, -25.594
-5.369, -5.286, -5.429, -5.821, -5.841, -14.896
-1.336, -1.985, -1.191, -1.002, -1.612, -0.240
 1.982,  2.381,  1.631,  2.206,  2.236,  7.920
 4.268,  4.060,  4.179,  4.765,  4.685, 17.009
 7.433,  7.457,  7.242,  7.326,  7.342, 26.991
-8.784, -8.478, -8.323, -8.853, -8.794, -25.001
-5.924, -5.927, -5.517, -5.058, -5.407, -15.522
-1.727, -1.329, -1.270, -1.355, -1.795, -2.081
 1.989,  2.018,  2.436,  2.446,  1.981, 10.692
 4.203,  4.584,  4.575,  4.332,  4.375, 17.470
 7.531,  7.825,  7.664,  7.385,  7.791, 28.052
-8.129, -8.804, -8.831, -8.139, -8.413, -24.990
-5.154, -5.612, -5.299, -5.255, -5.262, -13.688
-1.683, -1.158, -1.004, -1.568, -1.792, -1.392
 1.881,  1.875,  1.677,  2.216,  2.320,  8.588
 4.912,  4.968,  4.520,  4.879,  4.233, 17.769
 7.510,  7.993,  7.427,  7.766,  7.237, 26.674
-8.524, -8.670, -8.997, -8.608, -8.481, -26.234
-5.489, -5.043, -5.156, -5.480, -5.686, -14.754
-1.470, -1.438, -1.614, -1.088, -1.079, -2.378
 1.623,  2.307,  2.196,  1.557,  2.170,  9.261
 4.167,  4.650,  4.475,  4.169,  4.982, 17.238
 7.319,  7.012,  7.560,  7.322,  7.191, 28.354
-8.917, -8.399, -8.507, -8.588, -8.626, -25.975
-5.877, -5.841, -5.717, -5.084, -5.193, -16.065
-1.737, -1.587, -1.508, -1.735, -1.991, -2.324
 2.217,  2.023,  1.670,  2.275,  1.923,  8.865
 4.571,  4.442,  4.946,  4.169,  4.188, 19.579
 7.148,  7.022,  7.386,  7.491,  7.074, 27.348
-8.569, -8.892, -8.313, -8.703, -8.131, -23.823
-5.373, -5.668, -5.570, -5.041, -5.914, -15.164
-1.461, -1.384, -1.340, -1.645, -1.199, -1.326
 2.409,  2.358,  2.497,  2.108,  1.721, 11.281
 4.608,  4.756,  4.923,  4.560,  4.004, 18.860
 7.533,  7.971,  7.718,  7.725,  7.239, 27.587
-8.715, -8.980, -8.445, -8.036, -8.930, -24.956
-5.844, -5.544, -5.335, -5.574, -5.938, -15.276
-1.919, -1.500, -1.305, -1.550, -1.186, -1.995
 2.099,  2.218,  1.921,  2.084,  1.979,  9.248
 4.860,  4.497,  4.969,  4.551,  4.233, 19.899
 7.580,  7.917,  7.178,  7.529,  7.073, 26.188
-8.181, -8.175, -8.417, -8.090, -8.814, -24.910
-5.305, -5.252, -5.940, -5.344, -5.116, -16.357
-1.931, -1.226, -1.978, -1.000, -1.796, -4.939
 1.719,  1.541,  2.468,  1.598,  1.791, 11.328
 4.305,  4.843,  4.106,  4.925,  4.989, 15.717
 7.184,  7.292,  7.017,  7.592,  7.215, 25.871
-8.666, -8.399, -8.341, -8.963, -8.735, -24.822
-5.024, -5.201, -5.636, -5.040, -5.431, -15.196
-1.677, -1.739, -1.411, -1.778, -1.846, -1.553
 1.534,  2.283,  2.002,  2.332,  2.172,  8.177
 4.465,  4.966,  4.801,  4.987,  4.947, 17.932
 7.875,  7.142,  7.218,  7.309,  7.303, 28.265
-8.462, -8.182, -8.231, -8.316, -8.745, -24.784
-5.266, -5.342, -5.424, -5.822, -5.997, -14.645
-1.030, -1.765, -1.989, -1.139, -1.507, -2.197
 1.676,  1.567,  2.003,  2.354,  2.321,  9.556
 4.738,  4.402,  4.350,  4.930,  4.921, 18.016
 7.532,  7.821,  7.491,  7.080,  7.535, 27.584
-8.640, -8.378, -8.115, -8.812, -8.935, -24.274
